Ligand_1,Ligand_2,Exp. ddG,Pred. ddG,SEM,STD,crashes,target,ForceField
CAT-13g,CAT-13f,0.0,-1.35,0.277,0.8504,0,bace,OpenFF 2.0
CAT-13g,CAT-13e,-0.87,-1.05,0.277,1.0288,0,bace,OpenFF 2.0
CAT-13f,CAT-13e,-0.87,0.3,0.277,1.1034,0,bace,OpenFF 2.0
CAT-13e,CAT-13d,-0.51,-0.153,0.254,2.1969,0,bace,OpenFF 2.0
CAT-13e,CAT-17a,-0.77,-0.677,0.254,2.3315,0,bace,OpenFF 2.0
CAT-17a,CAT-13d,0.26,0.523,0.254,1.3225,0,bace,OpenFF 2.0
CAT-13d,CAT-17h,0.14,-1.543,0.959,2.0306,0,bace,OpenFF 2.0
CAT-13i,CAT-13d,-1.2,0.294,1.261,2.5905,0,bace,OpenFF 2.0
CAT-17b,CAT-13d,-0.45,0.825,0.669,1.6681,0,bace,OpenFF 2.0
CAT-17c,CAT-13d,-0.61,2.854,0.959,2.0565,0,bace,OpenFF 2.0
CAT-13h,CAT-13d,-0.84,-1.234,1.261,3.1916,0,bace,OpenFF 2.0
CAT-13d,CAT-17d,1.05,1.793,0.269,1.5654,0,bace,OpenFF 2.0
CAT-17h,CAT-17i,0.86,1.508,1.472,2.9387,0,bace,OpenFF 2.0
CAT-17h,CAT-17g,0.59,2.384,1.472,0.8677,0,bace,OpenFF 2.0
CAT-17h,CAT-17d,0.91,3.336,0.895,1.0414,0,bace,OpenFF 2.0
CAT-17i,CAT-17g,-0.27,0.876,1.472,1.7807,0,bace,OpenFF 2.0
CAT-17i,CAT-17d,0.05,1.828,0.895,2.2553,0,bace,OpenFF 2.0
CAT-17e,CAT-17i,0.55,1.415,0.669,1.1989,0,bace,OpenFF 2.0
CAT-24,CAT-17i,1.88,4.482,0.959,1.6155,0,bace,OpenFF 2.0
CAT-4j,CAT-17d,-0.4,1.834,0.523,1.4579,0,bace,OpenFF 2.0
CAT-17e,CAT-17b,0.0,0.625,0.669,1.1962,0,bace,OpenFF 2.0
CAT-24,CAT-17f,1.93,1.338,0.959,2.0368,0,bace,OpenFF 2.0
CAT-17f,CAT-17c,-0.44,0.324,0.959,1.4261,0,bace,OpenFF 2.0
CAT-4n,CAT-17f,-0.33,0.356,0.523,1.2433,1,bace,OpenFF 2.0
